name
CREATE_FEATURE_FLAG_ROLE
READ_FEATURE_FLAG_ROLE
UPDATE_FEATURE_FLAG_ROLE
DELETE_FEATURE_FLAG_ROLE
CREATE_EMPLOYEE_ROLE
READ_EMPLOYEE_ROLE
UPDATE_EMPLOYEE_ROLE
DELETE_EMPLOYEE_ROLE
CREATE_DEPARTMENT_ROLE
READ_DEPARTMENT_ROLE
UPDATE_DEPARTMENT_ROLE
DELETE_DEPARTMENT_ROLE
